,parentProtocolSlug,amountUsd,name,childSlugs
321,stellar-dex,26971973.651569,['Stellar DEX'],['stellar-dex']
322,stream-finance,99879868.97327672,['Stream Finance'],['stream-finance']
323,stusdt,60689695.59128867,['stUSDT'],['stusdt']
324,suibridge,57589628.572361,['SuiBridge'],['suibridge']
325,suilend-protocol,7777924.258490323,"['STEAMM', 'Suilend']","['steamm', 'suilend']"
326,summer.fi,62285006.91074922,"['Lazy Summer Protocol', 'Lazy Summer Protocol']","['lazy-summer-protocol', 'lazy-summer-protocol']"
327,sun,522207361.30680335,"['SUN.io', 'SUNSwap V3', 'SUNSwap V2', 'SUNSwap V1']","['sun.io', 'sunswap-v3', 'sunswap-v2', 'sunswap-v1']"
328,superfluid,1647652.5055548307,['Superfluid'],['superfluid']
329,superform,81695993.62611803,['Superform'],['superform']
330,superlend.xyz,4164521.6565206638,"['Superlend', 'Superfund']","['superlend', 'superfund']"
331,sushi,136779570.5847256,"['SushiSwap V3', 'SushiSwap']","['sushiswap-v3', 'sushiswap']"
332,swaap,4033673.3614817243,"['Swaap Maker V2', 'Swaap Maker V2']","['swaap-maker-v2', 'swaap-maker-v2']"
333,swappi,1887902.0292306787,['Swappi'],['swappi']
334,swapx,2068799.933076963,['SwapX Algebra'],['swapx-algebra']
335,sx-rollup-bridge,3943476.7850865563,['SX Rollup Bridge'],['sx-rollup-bridge']
336,symbiosis,5533488.05815299,"['Symbiosis', 'Symbiosis']","['symbiosis', 'symbiosis']"
337,synapse,2494195.260159335,"['Synapse', 'Synapse']","['synapse', 'synapse']"
338,syncswap-protocol,11013770.568984034,"['SyncSwap', 'SyncSwap']","['syncswap', 'syncswap']"
339,synfutures,5749088.189377417,['SynFutures V3'],['synfutures-v3']
340,taiko-bridge,1067878.0643900423,['Taiko Bridge'],['taiko-bridge']
341,takara-lend,3278225.697719301,['Takara Lend'],['takara-lend']
342,tapp-exchange,5253179.112584241,"['Tapp Exchange', 'Tapp Exchange']","['tapp-exchange', 'tapp-exchange']"
343,team-finance,3048508.227751297,"['Team Finance', 'Team Finance']","['team-finance', 'team-finance']"
344,tectonic,86076505.45917583,"['Tectonic', 'Tectonic']","['tectonic', 'tectonic']"
345,termmax,5413875.012547541,['TermMax'],['termmax']
346,thala,33601735.174883254,"['ThalaSwap', 'ThalaSwap V2', 'ThalaSwap V2']","['thalaswap', 'thalaswap-v2', 'thalaswap-v2']"
347,thena,3221962.429504606,"['THENA INTEGRAL', 'THENA V1']","['thena-integral', 'thena-v1']"
348,theo,8699331.980064878,['Theo'],['theo']
349,thetanuts-finance,1895445.3233185138,['Thetanuts Finance'],['thetanuts-finance']
350,thorchain-dex,10064612.394761615,"['Thorchain DEX', 'Thorchain DEX']","['thorchain-dex', 'thorchain-dex']"
351,tinyman,12064776.445223,['Tinyman'],['tinyman']
352,tokemak,53196291.87914083,['Tokemak'],['tokemak']
353,tulipa-capital,21295671.918416824,['Tulipa Capital'],['tulipa-capital']
354,turbos,5136555.304258233,"['Turbos', 'Turbos']","['turbos', 'turbos']"
355,turtle-club,1073057.994319,['Turtle Club'],['turtle-club']
356,typus-finance,3371108.8103757207,"['Typus Perp', 'Typus DOV']","['typus-perp', 'typus-dov']"
357,uncx-network,11664345.734904435,"['UNCX Network V2', 'UNCX Network V3', 'UNCX Network V3', 'UNCX Network V2']","['uncx-network-v2', 'uncx-network-v3', 'uncx-network-v3', 'uncx-network-v2']"
358,uniswap,2604356457.150937,"['Uniswap V2', 'Uniswap V4', 'Uniswap V3', 'Uniswap V4', 'Uniswap V3', 'Uniswap V2']","['uniswap-v2', 'uniswap-v4', 'uniswap-v3', 'uniswap-v4', 'uniswap-v3', 'uniswap-v2']"
359,unitas,9899830.303168364,['Unitas'],['unitas']
360,upshift,71079147.56211925,['Upshift'],['upshift']
361,usdd,58302504.999541,['USDD'],['usdd']
362,usdt0,2779566039.447921,['USDT0'],['usdt0']
